FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"Amgen, Inc.",NASDAQ,AMGN,Ongoing,#NULL!,2007
"Amkor TECHNOLOGY, Inc.",NASDAQ,AMKR,No,"$11,250,000.00",2006
"Ampio Pharmaceuticals, Inc.",New York SE,AMPE,Ongoing,#NULL!,2015
"Albany Molecular Research, Inc.",NASDAQ,AMRI,Ongoing,#NULL!,2014
Amarin Corporation plc,NASDAQ,AMRN,Ongoing,#NULL!,2013
"Amyris, Inc.",NASDAQ,AMRS,Ongoing,#NULL!,2013
"Bank of America Corporation : Fixed to Floating Rate Non-Cumulative Preferred Stock Series K; 7.25% Non-Cumulative Perpetual CONVERTIBLE Stock; 8.20% Non-Cumulative Preferred Stock, Series H",New York SE,BAC,Yes,#NULL!,2010
American Tower Corporation,New York SE,AMT,No,"$14,000,000.00",2006
TD Ameritrade Holding Corporation : Auction Rate Securities,NASDAQ,AMTD,Yes,#NULL!,2008
TD Ameritrade Holding Corporation,New York SE,AMTD,Ongoing,#NULL!,2014
TD Ameritrade Holding Corporation,New York SE,AMTD,Ongoing,#NULL!,2014
"Anadigics, Inc.",NASDAQ,ANAD,Yes,#NULL!,2008
"CardioNet, Inc.",NASDAQ,BEAT,Yes,#NULL!,2010
Abercrombie & Fitch Company,New York SE,ANF,No,"$12,000,000.00",2005
Amira Nature Foods Ltd.,New York SE,ANFI,Ongoing,#NULL!,2015
"Angie's List, Inc.",NASDAQ,ANGI,Ongoing,#NULL!,2013
"Beckman Coulter, Inc.",New York SE,BEC,No,"$5,500,000.00",2010
"Advanced Neuromodulation Systems ,Inc.",NASDAQ,ANSI,No,"$3,000,000.00",2005
Allied Nevada Gold Corp.,Toronto Stock Exchange,ANV,Ongoing,#NULL!,2014
Syntax-Brillian Corporation,NASDAQ,BRLC,No,#NULL!,2010
Australia and New Zealand Banking Group Limited,Pink Sheets,ANZBY,Yes,#NULL!,2008
American Oriental Bioengineering Inc,OTC-BB,AOB,Ongoing,#NULL!,2012
Boston Scientific Corporation,New York SE,BSX,Yes,#NULL!,2010
"Bucyrus International, Inc.",NASDAQ,BUCY,Yes,#NULL!,2010
"A123 Systems, Inc.",NASDAQ,AONE,Ongoing,#NULL!,2013
BlueLinx Holdings Inc.,New York SE,BXC,Yes,#NULL!,2010
"BancorpSouth, Inc.",New York SE,BXS,No,"$29,250,000.00",2010
Applica Incorporated,New York SE,APN,No,"$2,000,000.00",2006
Apollo Group Inc.,NASDAQ,APOL,Yes,#NULL!,2006
"Meta Financial Group, Inc.",NASDAQ,CASH,No,"$2,100,000.00",2010
Apollo Education Group Incorporated,NASDAQ,APOL,Yes,#NULL!,2014
"China Education Alliance, Inc.",New York SE,CEU,No,"$2,425,000.00",2010
Countrywide Financial Corporation : Various CERTIFICATES,New York SE,CFC,No,"$500,000,000.00",2010
"Venaxis, Inc.",NASDAQ,APPY,Ongoing,#NULL!,2015
"Applied Signal TECHNOLOGY,Inc.",NASDAQ,APSG,No,"$2,700,000.00",2005
"China Green Agriculture, Inc.",New York SE,CGA,No,"$2,500,000.00",2010
Aracruz Cellulose S.A.,New York SE,ARA,No,"$37,500,000.00",2008
Accuray Inc.,NASDAQ,ARAY,No,"$13,500,000.00",2009
"Arbitron, Inc.",New York SE,ARB,No,"$7,000,000.00",2008
