gvkey,datadate,fyear,datafmt,tic,conm,acctchg,ajex,ajp,curncd,currtr,fyr,acdo,aco,acodo,acominc,acox,acqic,acqintan,acqinvt,acqppe,acqsc,act,aldo,am,ano,ao,aocidergl,aociother,aocipen,aocisecgl,aodo,aol2,aoloch,aox,ap,apalch,aqa,aqc,aqd,aqeps,aqi,aqp,aqpl1,aqs,at,aul3,bast,bastr,bkvlps,caps,capx,capxv,ceq,ceql,ceqt,ch,che,chech,ci,cibegni,cicurr,cidergl,cimii,ciother,cipen,cisecgl,citotal,cld2,cld3,cld4,cld5,cogs,cshfd,cshi,csho,cshpri,cshr,cstk,cstkcv,cstke,dc,dclo,dcom,dcpstk,dcs,dcvsr,dcvsub,dcvt,dd,dd1,dd2,dd3,dd4,dd5,diladj,dilavx,dlc,dlcch,dltis,dlto,dltp,dltr,dltt,dm,dn,do,donr,dp,dpact,dpc,dpvieb,drc,drlt,ds,dtea,dted,dteeps,dtep,dudd,dv,dvc,dvp,dvpa,dvt,dxd2,dxd3,dxd4,dxd5,ebit,ebitda,emp,epsfi,epsfx,epspi,epspx,esub,esubc,exre,fatb,fatc,fate,fatl,fato,fatp,fca,fiao,fincf,fopo,fopox,gdwl,gdwlia,gdwlid,gdwlieps,gdwlip,gla,glcea,glced,glceeps,glcep,gld,gleps,glp,gp,hedgegl,ib,ibadj,ibc,ibcom,ibmii,icapt,idit,intan,intano,intc,intpn,invch,invfg,invo,invrm,invt,invwip,irent,itcb,itci,ivaco,ivaeq,ivao,ivch,ivncf,ivst,ivstch,lco,lcox,lcoxdr,lct,lifr,lno,lo,lol2,loxdr,lqpl1,lse,lt,lul3,mib,mibn,mibt,mii,mrc1,mrc2,mrc3,mrc4,mrc5,mrct,mrcta,msa,ni,niadj,nipfc,nipfp,nopi,nopio,np,nrtxt,nrtxtd,nrtxteps,oancf,ob,oiadp,oibdp,opeps,oprepsx,optca,optdr,optex,optexd,optfvgr,optgr,optlife,optosby,optosey,optprcby,optprcca,optprcex,optprcey,optprcgr,optprcwa,optrfr,optvol,pi,pidom,pifo,pnca,pncad,pncaeps,pncia,pncid,pncieps,pncip,pncwia,pncwid,pncwieps,pncwip,pnrsho,ppegt,ppent,ppeveb,prca,prcad,prcaeps,prsho,prstkc,pstk,pstkc,pstkl,pstkn,pstkr,pstkrv,rca,rcd,rceps,rcl,rcp,rdip,rdipa,rdipd,rdipeps,re,rea,reajo,recch,recco,recd,rect,recta,rectr,recub,reuna,reunr,revt,rra,rrd,rreps,rrp,sale,salepfc,salepfp,seq,seqo,seta,setd,seteps,setp,siv,spce,spced,spceeps,spi,spid,spieps,spioa,spiop,sppe,sppiv,sstk,stkco,stkcpa,teq,tfva,tfvce,tfvl,tlcf,tstk,tstkc,tstkme,tstkn,tstkp,txach,txbco,txbcof,txc,txdb,txdba,txdbca,txdbcl,txdc,txdfed,txdfo,txdi,txditc,txds,txfed,txfo,txndb,txndba,txndbl,txndbr,txo,txp,txpd,txr,txs,txt,txtubadjust,txtubbegin,txtubend,txtubmax,txtubmin,txtubposdec,txtubposinc,txtubpospdec,txtubpospinc,txtubsettle,txtubsoflimit,txtubtxtr,txtubxintbs,txtubxintis,wcap,wda,wdd,wdeps,wdp,xacc,xad,xido,xidoc,xint,xintd,xopr,xpp,xpr,xrd,xrent,xsga,dlrsn,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,spcsrc
129469,7/31/10,2010,STD,EONC,EON COMMUNICATIONS CORP, ,1,1,USD,1,7,0,0.257,0.019,0.11,0.019, , , , , ,13.489,0,0.084,0,0,0,0,0,0,0,0,1.189,0,2.361, ,0.319,-0.375,0.12,0.12,0,0.491,0,0,15.605,0, , ,2.2822,56.269,0.045,0.045,6.502,6.502,5.655,4.108,4.108,1.098,0.509,0.502,0.007,0,0.035,0,0,0,0.474,0,0,0,0,10.675,2.762,2.989,2.849,2.76,3.04,0.015,0.005,0,0,0,0,0, ,0,0,0,0,0.674,0.604,0.546,0.44,0.404,0,0.467,0.674, ,0,0,0,1.425,3.647,0,3.647,0,0,0.233,2.337,0.233,2.337,0.338,0,0, , , , ,0,0,0,0,0,0,0.604,0.546,0.44,0.404,0.906,1.139,0.104,0.17,0.17,0.17,0.17,0.061,-0.061,0.007,0,0,2.247,0.369,0,0, ,-0.124,-1.572,0.162,0.162,0, , , , , ,0.333,0.12,0.12,0.512, , , ,6.419, ,0.467,0.467,0.502,0.467,0.502,10.593, ,0.847,0.847,0,0.642,0.59,3.483,0,1.465,4.948,0, ,0,0,-0.562,0,0.99,0,-0.222,0,0,1.977,1.455,1.117,5.012,0,0,0,0,0,0,15.605,8.659,4.321,0,0.444,0.444,0.035,0.213,0.137,0.107,0.11,0.117,0.684,0.435,0,0.467,0.467, , ,0.009,0.009,0, , , ,2.885, ,0.906,1.139,0.05,0.05,0.042, ,0.13,0, ,0, ,0.173,0.131,12.46,22.14, ,9.43, ,9.43, , ,0.75, , ,0,0,0, , , , , , , , ,0,2.616,0.279,2.616,0,0,0,0,0.036,0,0,0,0,0,0, , , , , ,0,0,0,0,-48.279,0,0, ,0,0.235,4.176,0.11,4.176, ,-48.389, ,17.094, , , , ,17.094, , ,6.502,0, , , , ,0.01,0.134,0.05,0.05,0.506,0,0,0.01,0.015,0,0,0.013,0.004, ,6.946,0, ,4.321,25.3,1.503,1.503, ,0.14,0,0,0,0,-0.022,0,0,0,0,0.27,0.228,0,0.27,0,0.042,-0.02,0,0, , , ,0,0,0,0,-0.002,0.248, , , , , , , , , , , , , , ,8.477, , , , ,0.522, ,0,0,0.671, ,15.955,0.238,0.076,0.502,0.254,5.28, ,4520,452010,45,45201020,517911,4899,463,974,B
16188,12/31/10,2010,SUMM_STD,CGNX,COGNEX CORP, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,533.104, , , , , ,5.852, , , , , , , , , , , , , , , , , , , , ,67.779,80.594, , ,79.848, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,9.809, , , , , , , , , , , , , , , , , , , , , , , ,0.76,0.76,0.77,0.77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.381, , , ,61.381, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,61.381, , , ,0.315, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76.103, , , , , , , , , , , , , , , ,29.596, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,379.826, , , , , , ,290.691, , ,473.311, , , , , , , , , , , , , , , , , , , ,473.311, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.722, , , , , , , , , , , , , , ,224.573, , , , , , ,0, ,0, , , , , , ,137.315, ,4520,452030,45,45203010,334513,3823,357,925,B+
129469,7/31/11,2011,STD,EONC,EON COMMUNICATIONS CORP, ,1,1,USD,1,7,0,0.205,0.018,0.005,0.018, , , , , ,12.438,0,0.149,0,0,0,0,0,0,0,0,0.08,0,2.66, , ,0, , ,0, ,0,0,13.651,0, , ,1.7559,56.281,0.088,0.088,5.029,5.029,5.029,1.542,1.542,-2.566,-1.395,-1.29,-0.105,0,0.09,0,0,0,-1.485,0,0,0,0,16.831,2.86,3.004,2.864,2.86,3.025,0.015,0.005,0,0,0,0,0, ,0,0,0,0,0.575,0.591,0.443,0.381,0.328,0,-1.255,0.575, ,0,0,0,0.861,3.103,0,3.103,-0.125, ,0.278,0.809,0.278,0.809,0.374,0,0, , , , ,0,0,0,0,0,0,0.591,0.443,0.381,0.328,0.074,0.352,0.086,-0.48,-0.44,-0.48,-0.44,0,0,0.002,0,0,0.967,0.065,0,0, ,0,-0.842,2.018,2.018,0, , , , , , , , , , , , ,6.585, ,-1.255,-1.255,-1.165,-1.255,-1.165,8.717, ,0,0,0,0.31,-1.33,3.904,0,1.612,5.516,0, ,0,0,-0.218,0,0.99,0,-0.306,0,0,1.699,1.266,0.892,4.934,0,0,0,0,0,0,13.651,8.037,3.678,0,0.585,0.585,0.09,0.103,0.107,0.11,0.116,0.112,0.548,0.334,0,-1.38,-1.38, , ,-0.05,-0.05,0, , , ,-1.42, ,0.074,0.352,-0.23,-0.23,0.057, ,0.074,0, ,0, ,0.131,0.074,9.43,7.46, ,10.8, ,10.8, , ,-1.111, , ,0,0,0, , , , , , , , ,0,1.032,0.223,1.032,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,-49.764,0,0,-1.191,0,0.351,5.175,0.005,5.175, ,-49.769, ,23.416, , , , ,23.416, , ,5.029,0, , , , ,0,-1.255,-0.44,-0.44,-0.916, , , , ,0,0.015,0.019,0.045, ,5.614,0, ,3.678,25.5,1.503,1.503, ,0.14,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0.054,0, , , ,0,0,0.024,0,0,0.054, , , , , , , , , , , , , , ,7.504,-0.595,-0.21,-0.21,-0.916,0.433, ,-0.125,-0.125,0.219, ,23.064,0.187,0.066,0.483,0.278,6.233, ,4520,452010,45,45201020,517911,4899,463,974,B
16188,12/31/11,2011,SUMM_STD,CGNX,COGNEX CORP, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,611.881, , , , , ,7.82, , , , , , , , , , , , , , , , , , , , ,68.163,85.524, , ,83.718, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,9.756, , , , , , , , , , , , , , , , , , , , , , , ,0.82,0.82,0.83,0.83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,69.869, , , ,69.869, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,69.869, , , ,1.762, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,87.117, , , , , , , , , , , , , , , ,31.744, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,434.581, , , , , , ,321.914, , ,552.98, , , , , , , , , , , , , , , , , , , ,552.98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.248, , , , , , , , , , , , , , ,231.241, , , , , , ,0, ,0, , , , , , ,158.64, ,4520,452030,45,45203010,334513,3823,357,925,B+
129469,7/31/12,2012,STD,EONC,EON COMMUNICATIONS CORP, ,1,1,USD,1,7,0,0.387,0.024,0,0.024, , , , , ,12.18,0,0,0,0.084,0,0,0,0,0.084,0,-0.833,0.084,2.059, , ,0, , , , ,0, ,13.606,0, , ,1.9162,56.304,0.232,0.232,5.513,5.513,5.513,2.162,2.162,0.62,0.507,0.512,0,0,0.048,0,0,-0.005,0.459,0,0,0,0,16.28,2.873,3.017,2.877,2.873,3.025,0.015,0.005,0,0,0,0,0, ,0,0,0,0,0.746,0.537,0.48,0.381,0.316,0,0.464,0.746, ,0,0,0,0.168,3.033,0,3.033,0,0,0.105,0.527,0.105,0.527,0.467,0,0, , , , ,0,0,0,0,0,0,0.537,0.48,0.381,0.316,0.717,0.822,0.082,0.16,0.16,0.16,0.16,0,0,0,0,0,0.814,0.065,0,0, ,0,-0.15,0.325,0.325,0, , , , , , , , , , , , ,6.217, ,0.464,0.464,0.512,0.464,0.512,9.179, ,0,0,0, ,0.136,3.216,0,1.151,5.261,0.894, ,0,0,0,0,0.99,0,-0.232,0,0,1.622,1.206,0.739,4.427,0,0,0,0,0,0,13.606,7.46,3.668,0,0.633,0.633,0.048,0.107,0.11,0.116,0.112,0.111,0.556,0.223,-0.005,0.464,0.464, , ,-0.025,-0.025,0, , , ,1.002, ,0.717,0.822,0.16,0.16,0.005, ,0.069,0, ,0, ,0.074,0.069,10.8,5.03, ,11.19, ,11.19, , ,0.532, , ,0,0,0, , , , , , , , ,0,0.879,0.352,0.879,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,-49.305,0,0,0.759,0,0.555,4.37,0.005,4.37, ,-49.305, ,22.497, , , , ,22.497, , ,5.513,0, , , , ,0,0.464,0.16,0.16,0, , , , ,0,-0.002,0.018,0.007, ,6.146,0, ,3.668,26.075,1.501,1.501, ,0.14,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0,0.06,0,0.02,0.02, , , , , , , , , , , , , , ,7.753, , , , ,0.416, ,0,0,0.16, ,21.675,0.363,0.065,0.459,0.242,5.395, ,4520,452010,45,45201020,517911,4899,463,974,B
16188,12/31/12,2012,SUMM_STD,CGNX,COGNEX CORP, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,627.605, , , , , ,9.878, , , , , , , , , , , , , , , , , , , , ,68.637,87.28, , ,85.666, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,10.858, , , , , , , , , , , , , , , , , , , , , , , ,0.78,0.78,0.79,0.79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68.098, , , ,68.098, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,68.098, , , ,3.223, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86.63, , , , , , , , , , , , , , , ,34.82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,436.466, , , , , , ,324.279, , ,572.285, , , , , , , , , , , , , , , , , , , ,572.285, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.532, , , , , , , , , , , , , , ,189.493, , , , , , ,0, ,0, , , , , , ,161.377, ,4520,452030,45,45203010,334513,3823,357,925,B+
129469,7/31/13,2013,STD,EONC,EON COMMUNICATIONS CORP, ,1,1,USD,1,7,0,0.257,0.019,0,0.019, , , , , ,11.582,0,0,0,0.04,0,0,0,0,0.04,0,0.024,0.04,2.297, , ,0, , , , ,0, ,13.115,0, , ,1.9409,56.305,0.288,0.288,5.586,5.586,5.586,1.778,1.778,-0.384,0.222,0.222,0,0,0.154,0,0,0,0.068,0,0,0,0,15.646,2.877,3.017,2.878,2.877,3.025,0.015,0.005,0,0,0,0,0, ,0,0,0,0,0.367,0.448,0.443,0.366,0.287,0,0.012,0.367, ,0,0,0,0.21,2.896,0,2.896,0.056, ,0.134,0.312,0.134,0.312,0.076,0,0, , , , ,0,0,0,0,0,0,0.448,0.443,0.366,0.287,-0.096,0.038,0.075,0.02,0,0.02,0,0,0,0,0,0,0.746,0.069,0,0, ,0,-0.209,-0.239,-0.239,0, , , , , , , , , , , , ,4.94, ,0.012,0.012,0.166,0.012,0.166,9.269, ,0,0,0, ,-0.191,3.486,0,0.791,5.026,0.749, ,0,0,0,0,0.99,0,-0.288,0,0,1.182,0.806,0.73,3.846,0,0,0,0,0,0,13.115,6.742,3.189,0,0.787,0.787,0.154,0.11,0.116,0.112,0.111,0.111,0.56,0.112,0,0.068,0.068, , ,0.282,0.282,0, , , ,0.113, ,-0.096,0.038,0,0,0.009, ,0.06,0, ,0, ,0.069,0.06,11.19,7.07, ,11.78, ,11.78, , ,0.186, , ,0,0,0, , , , , , , , ,0,0.815,0.503,0.815,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0,0,0,0,-49.237,0,0,-0.126,0,0.285,4.521,0,4.521, ,-49.237, ,20.586, , , , ,20.586, , ,5.586,0, , , , ,0,0.012,0,0,0, , , , ,0,0.003,0.001,0.004, ,6.373,0, ,3.189,28.5,1.497,1.497, ,0.139,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0,0.012,0,0.02,0.02, , , , , , , , , , , , , , ,7.736, , , , ,0.376, ,0.056,0.342, , ,20.548,0.238,0.051, ,0.248,4.902, ,4520,452010,45,45201020,517911,4899,463,974,B
16188,12/31/13,2013,SUMM_STD,CGNX,COGNEX CORP, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,709.699, , , , , ,9.63, , , , , , , , , , , , , , , , , , , , ,72.978,88.901, , ,86.946, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,11.102, , , , , , , , , , , , , , , , , , , , , , , ,0.83,0.83,0.85,0.85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,73.573, , , ,73.573, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,73.573, , , ,1.518, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,87.886, , , , , , , , , , , , , , , ,37.136, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,462.131, , , , , , ,353.886, , ,643.912, , , , , , , , , , , , , , , , , , , ,643.912, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.313, , , , , , , , , , , , , , ,271.029, , , , , , ,0, ,0, , , , , , ,183.438, ,4520,452030,45,45203010,334513,3823,357,925,B+
124996,3/31/11,2010,STD,EPCYY,EPCOS AG, ,1,1,EUR,1.4183,3,0,37.585,30.919,-1.929,30.919, , , , , ,1233.924,0,9.951,0,118.145,0,0,-22.963,0,118.145,5.855,-35.891,118.145,288.993, , ,0, , , , ,12.555, ,2350.41,0, , ,14.1771,410.947,279.852,279.852,945.359,945.359,848.711,224.992,224.992,48.26,198.009,202.676,-5.833,0,0.857,0,0.739,0.427,197.152, , , , ,1956.3,66.682,66.682,66.682,66.682, ,94.575,1.42,0,0,37.327,0,0,23.544,0,0,0,0,29.475,9.233,3.498,4.554,2.302,0,201.411,451.415,27.156,16.984,17.866,0,18.696,55.193,69.105,0,0,0,184.372,2012.155,184.372,2012.155,0,0,0, , , , ,0,0,0,0,0,0, , , , ,245.042,429.414,25.052,3.02,3.02,3.02,3.02,1.106,-1.106,0.234,243.097,109.372,2509.593, ,0,12.707,-2.553,9.663,35.107,2.177,2.177,26.207, , , , ,2.213,2.213,0.03,0.03,3.404,0.03,0.03,3.404,747.435, ,201.411,201.411,202.676,201.411,202.676,1036.241,5.324,96.648,70.441, ,9.416,-70.755,188.723,0,165.901,433.615,78.991, ,0, ,13.448,5.436,33.643,2.777,-269.181,0,0,204.405,78.456,78.456,961.675,0,0,343.932,5.632,343.932,0,2350.41,1369.362,0,0,35.689,35.689,1.265,22.055, , , , , ,3.285,2.254,201.411,201.411, , ,2.177,-3.147,421.94, , , ,282.1, ,245.042,429.414,2.72,2.72,0, ,0,0, ,0, ,0,0, , , , , , , , ,242.89,19.415,223.482,-2.527,-0.04,-0.04,-10.323,-0.15,-0.15,-15.882,7.796,0.12,0.12,11.994,0,2874.769,862.614,2874.769,0,0,0,0,0,0,0,0,0,0,0,-3.042,-0.05,-0.05, ,-4.68,0,0,0,0,439.837, ,-22.963, ,52.335,6.839,537.732,18.78,483.218, ,441.766, ,2703.735, , , , ,2703.735, , ,945.359,0, , , , ,0,196.671,2.95,2.95,29.927,0.3,0.3,20.282,31.203, ,3.008,0,4.096, ,981.048,18.41, ,5.632,587.176,0,0, ,0,0, ,0,0, ,8.562,90.472,0,0,-2.381, ,0.76,-2.381,8.562, , ,37.033,81.91,132.955,51.045,0,0,16.862,30.665,2.179, ,40.214, , , , , , , , , , , , , , ,272.249, , , , ,125.949, ,0,0,34.256, ,2274.321,6.666,79.296,130.018,26.806,318.021,10,4520,452030,45,45203015,334414,3670,220,925, 
16416,12/31/10,2010,SUMM_STD,RKUS,RUCKUS WIRELESS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.79, , , , , ,1.555, , , , , , , , , , , , , , , , , , , , ,34.605,14.498, , ,14.498, , , , , , , , , , , , , , , , , , , , , , , , , , ,8.49, , , , ,1.139, , , , , , , , , , , , , , , , , , , , , , , ,-0.3,-0.3,-0.3,-0.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-4.404, , , ,-4.404, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,-4.404, , , ,-0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-4.228, , , , , , , , , , , , , , , ,2.487, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-59.484, , , , , , ,75.489, , ,-54.835, , , , , , , , , , , , , , , , , , , ,-54.835, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.176, , , , , , , , , , , , , , ,4.418, , , , , , ,0, ,1.011, , , , , , ,42.672, ,4520,452010,45,45201020,3342,3576, , , 
4439,12/31/10,2010,STD,ERIC,ERICSSON, ,1,1,SEK,0.147992482,12,0,480.976,0,-388.776,0, , , , , ,29368.072,0,739.815, ,2330.437,76.66,0,0,0,1884.98, ,374.421,1884.98,3693.744,882.627, , , , , , , , ,41706.501, , , ,6.7103,3660.002,545.5,545.5,21474.597,21474.597,14991.194,4567.64,12897.545,1193.707,1615.042,1662.696,-482.308,87.612,14.651,-229.98,575.986,1.036,1600.391, , , , ,17380.533,3226,3273.352,3200.263,3197, ,2422.193,0.74,0,445.457, ,0,0, ,0,0,0, ,112.474, , , , ,0,1649.524,563.556, ,381.821,933.685, ,214.441,3989.137, ,3055.452,0,0,1228.042,2841.16,1326.309,2841.16,1689.334,0,0, , , , ,0,988.146,945.82,0,0,945.82, , , , ,3582.01,4810.052,90.261,0.51,0.51,0.52,0.52,-173.447,218.437,-45.286, ,120.466,3489.663,0.444,0, , ,-25.899,-839.117,338.754,338.754,4018.144, , , , , ,22.798,0.01,0.01,35.074, , , ,12974.797, ,1649.524,1649.524,1662.696,1649.524,1662.696,25712.213,120.022,6483.403,2465.259,0,144.589,-1171.656,1760.222,0,1259.268,4424.531,1405.041, ,0,0,-882.48,1450.77,677.658, ,-1855.974,8329.905,-446.345,9733.17,5025.233,3335.899,14320.197,0, ,1293.602, ,1293.602, ,41706.501,19983.425, ,0,248.479,248.479,13.172,458.333,383.005,259.579,178.035,106.851,1385.803,327.951,0,1649.524,1649.524, , ,16.575,-103.447,451.082, , , ,3934.084, ,3582.01,4810.052,0.74,0.74,0, ,0,0, ,0, ,0,0, , , , , , , , ,2335.765, , ,-11.159,0,0,-10.87,0,0,-16.723,-0.289,0,0,-0.444,0,4237.321,1396.161,4237.321,0,0,0,0,0,0,0,0,0,0,0,-655.474,-0.2,-0.21, ,-1008.421,0,0,0,0,15392.402, ,76.66,337.57,2518.684, ,11565.02,-465.436,9046.336, ,15781.178, ,30355.33, , , , ,30355.33, , ,21474.597,0, , , , , ,1615.567,0.5,0.51,-1008.421, , , , ,18.351,-35.074,7.548, , ,21723.076, , , ,1928.342, , , ,73.089, , ,0,0, ,380.489,1884.98,0,0,0, , ,-45.434,380.489, , , ,1504.491,1884.98,380.489,0,27.379,329.727,711.548,0, ,673.069, , , , , , , , , , , , , , ,15047.875, , , , ,4707.937, ,0,0,254.399, ,25545.278,480.976,457.445,4670.347,543.872,8164.745, ,4520,452010,45,45201020,334220,3663,180,940, 
16416,12/31/11,2011,SUMM_STD,RKUS,RUCKUS WIRELESS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65.69, , , , , ,3.664, , , , , , , , , , , , , , , , , , , , ,45.135,23.269, , ,15.584, , , , , , , , , , , , , , , , , , , , , , , , , , ,5.207, , , , ,2.072, , , , , , , , , , , , , , , , , , , , , , , ,0.02,0.02,0.02,0.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.186, , , ,4.186, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,4.186, , , ,-1.515, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.501, , , , , , , , , , , , , , , ,4.555, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-55.298, , , , , , ,120.023, , ,-44.743, , , , , , , , , , , , , , , , , , , ,-44.743, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.315, , , , , , , , , , , , , , ,-2.927, , , , , , ,0, ,1.025, , , , , , ,65.775, ,4520,452010,45,45201020,3342,3576, , , 
4439,12/31/11,2011,STD,ERIC,ERICSSON, ,1,1,SEK,0.145482055,12,0,545.994,0, ,0, ,55.574, ,37.68, ,28924.16,0,650.305, ,2406.709, , , , ,1894.176, ,-1263.221,1894.176,3682.005,-239.754,-7.281, ,0,0, ,-11.202, , ,40785.749, , , ,6.4847,3597.916,726.537,726.537,20819.209,20819.209,14924.129,5626.664,11717.416,1136.506,801.024,1828.564,-140.245,-150.137,61.83,275.834,-1012.992,0,739.194, , , , ,20076.523,3233,3273.352,3210.505,3206, ,2381.105,0.727,0,512.533, ,0,0, ,0,0,0, ,627.61, , , , ,0,1774.008,1129.669, ,302.021,881.476, ,183.162,3383.331, ,2501.855,0,0,1159.346,3017.88,1304.101,3017.88,1268.894,0,0, , , , ,0,1084.568,1048.489,0,0,1048.489, , , , ,3561.4,4720.746,104.525,0.55,0.55,0.55,0.55,-549.631,539.738,-31.57, ,189.418,3767.694,0.436,0, , ,7.565,-944.76,14.257,14.257,3991.738, , , , ,28.369,43.404,0.01,0.01,66.776,0.01,0.01,43.645,13055.559, ,1774.008,1774.008,1828.564,1774.008,1828.564,24517.509,282.235,5895.08,1903.342,0,206.875,-471.798,1967.645,0,1276.169,4811.092,1567.278,11.057,0,0,-806.407,867.8,1122.54, ,660.634,6090.752,2137.422,8912.812,4111.468,2842.574,14115.978,0, ,1824.927, ,1824.927, ,40785.749,19651.571, ,0,314.969,314.969,54.556,457.25,323.261,219.096,154.938,114.058,1268.603,335.773, ,1774.008,1774.008, , ,-164.832,-447.067,502.059, , , ,1452.202, ,3561.4,4720.746,0.67,0.67,0, ,0,0, ,0, ,0,0, , , , , , , , ,2636.28, , ,-18.44,-0.01,-0.01,-8.038,0,0,-12.366,-10.402,0,0,-16.003,0,4587.34,1569.46,4587.34,0,0,0,0,0,0,0,0,0,0,0,-353.95,-0.11,-0.11, ,-544.539,0,0,0,0,14840.188, , ,-236.553,2462.865, ,11849.658, ,9386.793, ,14840.188, ,33132.082, , , , ,33132.082, , ,20819.209,0, , , , , ,1712.164,0.53,0.53,-512.096, , , , ,56.156,-23.132,13.384, , ,21134.178, , , ,1841.366, , , ,62.847, , ,0,0, ,327.335,1894.177,0,0,0, , ,208.476,327.335, , , ,1566.842,1894.177,327.335,0,-34.916,391.492,639.103,0, ,807.716, , , , , , , , , , , , , , ,14808.182, , , , ,4801.344, ,0,0,248.192, ,28411.336,545.994,565.78,4748.243,489.111,8334.813, ,4520,452010,45,45201020,334220,3663,180,940, 
16416,12/31/12,2012,SUMM_STD,RKUS,RUCKUS WIRELESS INC, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,243.839, , , , , ,7.531, , , , , , , , , , , , , , , , , , , , ,70.934,37.775, , ,24.847, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , ,4.85, , , , , , , , , , , , , , , , , , , , , , , ,0.24,0.24,0.36,0.36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31.704, , , ,31.704, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,31.704, , , ,-3.664, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.466, , , , , , , , , , , , , , , ,8.959, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-23.594, , , , , , ,214.653, , ,170.211, , , , , , , , , , , , , , , , , , , ,170.211, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-17.238, , , , , , , , , , , , , , ,141.093, , , , , , ,0, ,0.472, , , , , , ,120.267, ,4520,452010,45,45201020,3342,3576, , , 
