FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
TD Ameritrade Holding Corporation : Auction Rate Securities,NASDAQ,AMTD,Yes,0,2008
TD Ameritrade Holding Corporation,New York SE,AMTD,Ongoing,0,2014
TD Ameritrade Holding Corporation,New York SE,AMTD,Ongoing,0,2014
"Anadigics, Inc.",NASDAQ,ANAD,Yes,0,2008
"CardioNet, Inc.",NASDAQ,BEAT,Yes,0,2010
Abercrombie & Fitch Company,New York SE,ANF,No,12000000,2005
Amira Nature Foods Ltd.,New York SE,ANFI,Ongoing,0,2015
"Angie's List, Inc.",NASDAQ,ANGI,Ongoing,0,2013
"Beckman Coulter, Inc.",New York SE,BEC,No,5500000,2010
"Advanced Neuromodulation Systems ,Inc.",NASDAQ,ANSI,No,3000000,2005
Allied Nevada Gold Corp.,Toronto Stock Exchange,ANV,Ongoing,0,2014
Syntax-Brillian Corporation,NASDAQ,BRLC,No,0,2010
Australia and New Zealand Banking Group Limited,Pink Sheets,ANZBY,Yes,0,2008
American Oriental Bioengineering Inc,OTC-BB,AOB,Ongoing,0,2012
Boston Scientific Corporation,New York SE,BSX,Yes,0,2010
"Bucyrus International, Inc.",NASDAQ,BUCY,Yes,0,2010
"A123 Systems, Inc.",NASDAQ,AONE,Ongoing,0,2013
BlueLinx Holdings Inc.,New York SE,BXC,Yes,0,2010
"BancorpSouth, Inc.",New York SE,BXS,No,29250000,2010
Applica Incorporated,New York SE,APN,No,2000000,2006
Apollo Group Inc.,NASDAQ,APOL,Yes,0,2006
"Meta Financial Group, Inc.",NASDAQ,CASH,No,2100000,2010
Apollo Education Group Incorporated,NASDAQ,APOL,Yes,0,2014
"China Education Alliance, Inc.",New York SE,CEU,No,2425000,2010
Countrywide Financial Corporation : Various CERTIFICATES,New York SE,CFC,No,500000000,2010
"Venaxis, Inc.",NASDAQ,APPY,Ongoing,0,2015
"Applied Signal TECHNOLOGY,Inc.",NASDAQ,APSG,No,2700000,2005
"China Green Agriculture, Inc.",New York SE,CGA,No,2500000,2010
Aracruz Cellulose S.A.,New York SE,ARA,No,37500000,2008
Accuray Inc.,NASDAQ,ARAY,No,13500000,2009
"Arbitron, Inc.",New York SE,ARB,No,7000000,2008
"Arbinet-Thexchange, Inc.",NASDAQ,ARBX,Yes,0,2005
"Appliance Recycling Centers of America, Inc.",NASDAQ,ARCI,Ongoing,0,2015
American Realty Capital Properties Inc.,NASDAQ,ARCP,Ongoing,0,2014
American Realty Capital Properties Inc.,NASDAQ,ARCP,Ongoing,0,2014
Capital Gold Corporation,American SE,CGC,Yes,0,2010
"ARIAD Pharmaceuticals, Inc.",NASDAQ,ARIA,Ongoing,0,2013
"Arena Pharmaceuticals, Inc.",NASDAQ,ARNA,Ongoing,0,2010
"Chordiant SOFTWARE, Inc.",NASDAQ,CHRD,Yes,0,2010
ArthroCare Corporation,NASDAQ,ARTC,No,74000000,2008
Arotech Corporation,NASDAQ,ARTX,No,2900000,2007
"Aruba Networks, Inc.",NASDAQ,ARUN,Ongoing,0,2013
Arrowhead Research Corporation,NASDAQ,ARWR,Ongoing,0,2014
Arrowhead Research Corporation,NASDAQ,ARWR,Ongoing,0,2014
"American Service Group, Inc.",NASDAQ,ASGRE,No,10500000,2006
Archstone-Smith Trust,New York SE,ASN,Yes,0,2007
Archstone-Smith Operating Trust : A-1 Units,New York SE,ASN,Yes,0,2008
Altisource Portfolio Solutions SA,NASDAQ,ASPS,Ongoing,0,2014
Altisource Portfolio Solutions SA,NASDAQ,ASPS,Ongoing,0,2014
Atlantic Power Corporation,New York SE,AT,Ongoing,0,2013
Astea International Inc.,NASDAQ,ATEA,Yes,0,2006
"Compellent Technologies, Inc.",New York SE,CML,Yes,0,2010
"CORINTHIAN COLLEGES, Inc.",NASDAQ,COCO,Yes,0,2010
Cogent Inc.,NASDAQ,COGT,Yes,0,2010
"Atossa Genetics, Inc.",NASDAQ,ATOS,Ongoing,0,2013
ATP Oil & Gas Corporation : 11.875% Senior Second Lien Exchange Notes,NASDAQ,ATPAQ,Ongoing,0,2013
ATP Oil & Gas Corporation,NASDAQ,ATPAQ,Ongoing,0,2013
"AtriCure, Inc.",NASDAQ,ATRC,No,2000000,2006
"AtriCure, Inc.",NASDAQ,ATRC,No,2750000,2008
Capella Education Company,NASDAQ,CPLA,Yes,0,2010
Celera Corporation,NASDAQ,CRA,No,24750000,2010
ATI TECHNOLOGIES Inc.,NASDAQ,ATYT,Yes,0,2005
"AuthenTec, Inc.",NASDAQ,AUTH,Yes,0,2008
"Avaya, Inc.",New York SE,AV,Yes,0,2005
"Aveo Pharmaceuticals, Inc.",NASDAQ,AVEO,Ongoing,0,2013
"Avid Technology, Inc.",NASDAQ,AVID,Ongoing,0,2013
"Avanir Pharmaceuticals, Inc.",NASDAQ,AVNR,Yes,0,2009
"Avon Products, Inc.",New York SE,AVP,Yes,0,2005
"Avon Products, Inc.",New York SE,AVP,Ongoing,0,2011
"Accelerate Diagnostics, Inc.",NASDAQ,AXDX,Ongoing,0,2015
Anixter International Inc.,New York SE,AXE,Yes,0,2009
American Express Company,New York SE,AXP,Yes,0,2009
American Express Company,New York SE,AXP,Ongoing,0,2015
"Axesstel, Inc.",OTC-BB,AXST,Ongoing,0,2014
"CRM Holdings, Ltd.",NASDAQ,CRMH,Yes,0,2010
Axonyx Inc.,NASDAQ,AXYX,Yes,0,2005
AstraZeneca PLC,New York SE,AZN,Yes,0,2005
Aspen TECHNOLOGY Inc.,NASDAQ,AZPN,Yes,0,2006
The Boeing Company,New York SE,BA,Yes,0,2009
Alibaba Group Holding Limited : American Depositary Shares,New York SE,BABA,Ongoing,0,2015
Bank of America : Auction Rate Securities,New York SE,BAC,Yes,0,2008
Bank of America Corporation : Merger with Merrill Lynch,New York SE,BAC,No,2425000000,2009
Canadian Solar Inc.,NASDAQ,CSIQ,Yes,0,2010
Bank of America Corporation,New York SE,BAC,Ongoing,0,2011
"Cell Therapeutics, Inc.",NASDAQ,CTIC,No,19000000,2010
"CommScope, Inc.",New York SE,CTV,Yes,0,2010
Braskem S.A. : American Depositary Shares,New York SE,BAK,Ongoing,0,2015
"Bare Escentuals, Inc.",NASDAQ,BARE,Yes,0,2009
Baxter International Inc.,New York SE,BAX,Ongoing,0,2010
"Bodisen Biotech, Inc.",American SE,BBC,Yes,0,2006
Brantley Capital Corporation,NASDAQ,BBDC,No,3750000,2006
"Bombardier ,Inc.:Bombardier CAPITAL MORTGAGE Securitization Pass-Through Certificate Series 2000A",Toronto Stock Exchange,BBDSVB.T,Yes,0,2005
"Blockbuster, Inc.",New York SE,BBI,Yes,0,2005
Britannia Bulk Holdings Inc.,New York SE,BBLKF,Yes,0,2008
"Blue Earth, Inc.",NASDAQ,BBLU,Ongoing,0,2014
"Blue Earth, Inc.",NASDAQ,BBLU,Ongoing,0,2014
"BigBand Networks, Inc.",NASDAQ,BBND,No,11000000,2007
Blackberry Limited,NASDAQ,BBRY,Ongoing,0,2013
"Barrett Business Services, Inc.",NASDAQ,BBSI,Ongoing,0,2014
"Barrett Business Services, Inc.",NASDAQ,BBSI,Ongoing,0,2014
"BankAtlantic Bancorp, Inc.",New York SE,BBX,Yes,0,2007
"Best Buy Co., Inc.",New York SE,BBY,Ongoing,0,2011
"Boston Communications Group, Inc.",NASDAQ,BCGI,Yes,0,2005
"Blucora, Inc.",NASDAQ,BCOR,Yes,0,2014
Barclays PLC : American Depository Receipts,New York SE,BCS,Ongoing,0,2012
Barclays PLC : American Depositary Shares,New York SE,BCS,Ongoing,0,2014
Barclays PLC : American Depositary Shares,New York SE,BCS,Ongoing,0,2014
"Barclays Bank PLC : American Depositary Shares, Series 2",New York SE,BCS.PR,Ongoing,0,2009
"Barclays Bank PLC : American Depositary Shares, Series 4",NEW YORK SE,BCS.PRC,Yes,0,2009
Barclays Bank PLC : Series 5 American Depositary Shares,New York SE,BCS.PRD,Yes,0,2009
"BlueCoat Systems,Inc.",NASDAQ,BCSI,Yes,0,2005
CVB Financial Corporation,NASDAQ,CVBF,Yes,0,2010
"Boulder Brands, Inc.",NASDAQ,BDBD,Ongoing,0,2015
"Bradley Pharmaceuticals,Inc.",New York SE,BDY,No,3500000,2005
"BearingPoint, Inc.",New York SE,BE,No,7500000,2005
"CardioNet, Inc.",NASDAQ,BEAT,Yes,0,2009
"KPMG, LLP : Diebold Inc.",New York SE,DBD,No,0,2010
"DG FastChannel, Inc.",NASDAQ,DGIT,No,2000000,2010
"Duoyuan Global Water, Inc.",New York SE,DGW,No,5150000,2010
"DJSP Enterprises, Inc.",NASDAQ,DJSP,Yes,0,2010
General Cable Corporation,New York SE,BGC,Ongoing,0,2013
Natural Health Trends Corporation,NASDAQ,BHIP,No,2750000,2006
Bio-One Corporation,OTC-BB,BICO,No,375000,2005
"Bidz.com, Incorporated",NASDAQ,BIDZ,No,0,2009
"Big Lots, Inc.",New York SE,BIG,Ongoing,0,2012
"Biogen Idec,Inc.",NASDAQ,BIIB,Yes,0,2005
"Biolase, Inc.",NASDAQ,BIOL,Ongoing,0,2013
"Bioscrip, Inc.",NASDAQ,BIOS,Ongoing,0,2013
"Bioenvision, Inc.",NASDAQ,BIVN,Yes,0,2007
"KCG Americas LLC : Biozoom, Inc. Common Stock",OTC-BB,BIZM,Ongoing,0,2014
Del Monte Foods Company,New York SE,DLM,Yes,0,2010
The Bank of New York Mellon Corporation,New York SE,BK,Ongoing,0,2011
"BKF Capital Group, Inc.",New York SE,BKFG,Yes,0,2007
Michael Baker Corporation,American SE,BKR,No,4500000,2008
"Barnes & Noble, Inc.",New York SE,BKS,Yes,0,2014
BankUnited Financial Corporation,NASDAQ,BKUNA,No,3000000,2008
"Infoblox, Inc.",New York SE,BLOX,Ongoing,0,2014
"Immucor, Inc.",NASDAQ,BLUD,No,2500000,2005
"Immucor, Inc.",NASDAQ,BLUD,No,3900000,2009
"DEVRY, Inc.",New York SE,DV,Yes,0,2010
Bristol-Myers Squibb Company,New York SE,BMY,No,125000000,2007
"Annie's, Inc.",New York SE,BNNY,Ongoing,0,2014
"Annie's, Inc.",New York SE,BNNY,Ongoing,0,2014
Body Central Corporation,NASDAQ,BODY,Ongoing,0,2012
"Bausch & Lomb, Inc.",New York SE,BOL,Yes,0,2006
SeaCube Container Leasing Ltd.,New York SE,BOX,Ongoing,0,2013
BP P.L.C.,New York SE,BP,Ongoing,0,2007
"BP, PLC",New York SE,BP,Ongoing,0,2010
"DynaVox, Inc.",NASDAQ,DVOX,Yes,0,2010
"Bridgepoint Education, Inc.",New York SE,BPI,Ongoing,0,2012
"Bridgepoint Education, Inc.",New York SE,BPI,Ongoing,0,2015
"Popular, Inc.",NASDAQ,BPOP,No,37500000,2009
BP Prudhoe Bay Royalty Trust,New York SE,BPT,No,43250000,2006
"Duoyuan Printing, Inc.",New York SE,DYP,No,4300000,2010
"Brocade Communication Systems, Inc.",NASDAQ,BRCD,No,160000000,2005
Broadcom Corporation,NASDAQ,BRCM,No,160500000,2006
"Brooks Automation, Inc.",NASDAQ,BRKS,No,7750000,2006
Syntax-Brillian Corporation,NASDAQ,BRLC,No,10000000,2007
Education Management Corporation,NASDAQ,EDMC,Yes,0,2010
"Bravo! Brands, Inc.",OTC-BB,BRVO,Yes,0,2007
The Bear Stearns Companies Inc.,New York SE,BSC,No,275000000,2008
Boston Scientific Corporation,New York SE,BSX,Yes,0,2005
Eksportfinans A.S.A. : Enhanced Yield Reverse Exchangeable Securities with Contingent Downside Protection,Undetermined,EKS,Yes,0,2010
"Blyth, Inc.",New York SE,BTH,Ongoing,0,2012
"Barrier Therapeutics, Inc.",NASDAQ,BTRX,Yes,0,2005
"Buca, Inc.",NASDAQ,BUCA,No,1600000,2005
Emmis Communications Corporation,NASDAQ,EMMS,Yes,0,2010
SAC Capital Management L.L.C. : Biovail Corporation Common Stock,New York SE,BVF,Yes,0,2006
Biovail Corporation,New York SE,BVF,Yes,0,2008
"ITT Education Services, Inc.",New York SE,ESI,Yes,0,2010
"Basin Water, Inc.",NASDAQ,BWTR,No,7000000,2007
The Blackstone Group L.P.,New York SE,BX,No,85000000,2008
Exobox Technologies Corporation,Pink Sheets,EXBX,Yes,0,2010
Ford Motor Company : Ford Motor Company Capital Trust II 6.5% Cumulative CONVERTIBLE Trust Preferred Securities,New York SE,F1S,Yes,0,2010
"BancorpSouth, Inc.",New York SE,BXS,Ongoing,0,2014
"BancorpSouth, Inc.",New York SE,BXS,Ongoing,0,2014
"Beazer Homes USA, Inc.",New York SE,BZH,No,30500000,2007
"Citigroup, Inc.",New York SE,C,No,590000000,2007
Citigroup Inc. : Auction Rate Securities,New York SE,C,Yes,0,2008
Countrywide Financial Corporation : Countrywide Series A and Series B Floating Rate Convertible Senior Debentures due 2037,C.D. California,C.D. Cal,Yes,0,2007
"China Automotive Systems, Inc.",NASDAQ,CAAS,Ongoing,0,2011
Carrier Access Corporation,NASDAQ,CACS,No,7400000,2005
Host America Corporation,NASDAQ,CAFE,Yes,0,2005
"ConAgra Foods, Inc.",New York SE,CAG,Yes,0,2005
"FalconStor SOFTWARE, Inc.",NASDAQ,FALC,No,5000000,2010
First Regional Bancorp,Pink Sheets,FRGB,No,5500000,2010
Frontier Financial Corporation,NASDAQ,FTBK,Yes,0,2010
Camtek Ltd.,NASDAQ,CAMT,Yes,0,2008
CannaVEST Corp.,OTC-BB,CANV,Ongoing,0,2014
CSK Auto Corporation,New York SE,CAO,No,10000000,2006
"China Aviation Oil Corporation,Ltd.",OTC-BB,CAOLF.PK,Yes,0,2005
"Cedar Fair Management, Inc.",New York SE,FUN,Yes,0,2010
Genzyme Corporation : Acquisition by Sanofi-Aventis SA,New York SE,GENZ,Yes,0,2010
Geron Corporation,NASDAQ,GERN,Yes,0,2010
"Capitol Bancorp, Limited",New York SE,CBC,Yes,0,2005
CBD Energy Limited,NASDAQ,CBDE,Ongoing,0,2014
CBD Energy Limited,NASDAQ,CBDE,Ongoing,0,2014
"China Integrated Energy, Inc.",NASDAQ,CBEH,Ongoing,0,2011
"Cbeyond, Inc.",NASDAQ,CBEY,No,2300000,2008
"CBRE Realty Finance, Inc.",New York SE,CBF,Yes,0,2007
Chicago Bridge & Iron Co. NV,New York SE,CBI,No,10500000,2006
"Cellular Biomedicine Group, Inc.",NASDAQ,CBMG,Ongoing,0,2015
Green Mountain Coffee Roasters Inc.,NASDAQ,GMCR,Yes,0,2010
"Green Bankshares, Inc.",NASDAQ,GRNB,No,1750000,2010
CBS Corporation,New York SE,CBS,Yes,0,2008
China Ceramics Co. Ltd.,NASDAQ,CCCL,Ongoing,0,2014
