FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
Covidien Plc.,New York SE,COV,Ongoing,0,2014
Covidien Plc.,New York SE,COV,Ongoing,0,2014
Covisint Corporation,NASDAQ,COVS,Ongoing,0,2014
"Caraco Pharmaceutical Laboratories, Ltd.",American SE,CPD,No,2975000,2009
"NBTY, Inc.",New York SE,NTY,No,6000000,2010
"Novelos Therapeutics, Inc.",OTC-BB,NVLT,Yes,0,2010
"Corn Products International, Inc.",New York SE,CPO,No,6600000,2005
"Catalyst Pharmaceutical Partners, Inc.",NASDAQ,CPRX,Ongoing,0,2013
"ChoicePoint,Inc.",New York SE,CPS,No,10000000,2005
"Novartis AG : Alcon, Inc. Common Stock",New York SE,NVS,Yes,0,2010
OMNI Energy Services Corporation,NASDAQ,OMNI,NO,0,2010
"Custom Designed Compressor Systems, Inc.",Pink Sheets,CPYJ.PK,Yes,0,2005
"Orient Paper, Inc.",American SE,ONP,No,2000000,2010
"Ormat Technologies, Inc.",New York SE,ORA,No,3100000,2010
"Cray, Inc.",NASDAQ,CRAY,Yes,0,2005
Care Investment Trust Inc.,New York SE,CRE,Yes,0,2007
"Carter's, Inc.",New York SE,CRI,No,20000000,2008
"CorMedix, Inc.",New York SE,CRMD,Ongoing,0,2015
PCS Edventures!.com,OTC-BB,PCSV,No,665000,2010
"Carmel Energy, Inc.",OTC-BB,CRMY,Yes,0,2009
"CROCS, Inc.",NASDAQ,CROX,No,10000000,2007
"Carbo Ceramics, Inc.",New York SE,CRR,Ongoing,0,2012
"Corporate Resource Services, Inc.",NASDAQ,CRRS,Ongoing,0,2015
Potash Corporation of Saskatchewan Inc.,New York SE,POT,Yes,0,2010
Credit Suisse Group,New York SE,CS,No,70000000,2008
Penwest Pharmaceuticals Co.,NASDAQ,PPCO,Yes,0,2010
"MORTGAGE Asset Securitization Transactions, Inc.",Privately Traded,Privatel,Yes,0,2010
"Cash Store Financial Services, Inc.",New York SE,CSFS,Ongoing,0,2013
Landwin Group LLC,Privately Traded,Privatel,Yes,0,2010
METROPOLITAN LIFE INSURANCE COMPANY : Cincinnati Grand Prix,Privately Traded,Privatel,Yes,0,2010
UBS Financial Services Inc.,Privately Traded,Privatel,Yes,0,2010
"Caesarstone Sdot-Yam, LTD.",NASDAQ,CSTE,Ongoing,0,2015
"Freedom Investment Club, Ltd.",Privately Traded,Privatel,Yes,0,2010
China Sunergy Company Limited,NASDAQ,CSUN,Yes,0,2007
Cooper Tire & Rubber Company,New York SE,CTB,Ongoing,0,2014
"Constant Contact, Inc.",NASDAQ,CTCT,Ongoing,0,2015
"Stewardship INVESTMENT ADVISORS, LLC : Stewardship Fund",Privately Traded,Privatel,No,0,2010
"Cell Therapeutics,Inc.",NASDAQ,CTIC,Yes,0,2005
Advanta Corporation : RediReserve variable rate certificates and investment notes,Privately Traded,Privatel,No,0,2010
Cellceutix Corporation,Pink Sheets,CTIX,Ongoing,0,2015
"CenturyLink, Inc.",New York SE,CTL,Ongoing,0,2013
CTPartners Executive Search Inc.,New York SE,CTP,Ongoing,0,2015
Catamaran Corporation,NASDAQ,CTRX,Ongoing,0,2015
"Geneva Exchange, Inc. : Berthel Fisher & Company Financial Services, Inc. : Tenant In Common Interest in Beamer Place Apartments",Privately Traded,Privatel,Yes,0,2010
"Cutera, Inc.",NASDAQ,CUTR,Yes,0,2007
"Morgan Stanley : Morgan Stanley Capital I Trust 2006-IQ12, Classes A-F",Privately Traded,Privatel,Yes,0,2010
"Progressive Energy Partners, LLC",Privately Traded,Privatel,No,0,2010
"Ernst & Young, Ltd. (Bermuda) and Ernst & Young, Ltd. (Bahamas) : Stewardship INVESTMENT ADVISORS LLC : Stewardship Credit Arbitrage Fund, L.L.C.",Privately Traded,Privatel,Yes,0,2010
"Calavo Growers, Inc.",NASDAQ,CVGW,Ongoing,0,2015
"Coventry Health Care, Inc.",New York SE,CVH,No,10000000,2009
"CommVault Systems, Inc.",NASDAQ,CVLT,Ongoing,0,2014
"CommVault Systems, Inc.",NASDAQ,CVLT,Ongoing,0,2014
CVS Caremark Corporation,New York SE,CVS,Ongoing,0,2009
"China Valves Technology, Inc.",NASDAQ,CVVT,Ongoing,0,2011
Commonwealth Bankshares,OTC-BB,CWBS,Ongoing,0,2013
CommonWealth REIT,New York SE,CWH,Ongoing,0,2012
China XD Plastics Company Limited,NASDAQ,CXDC,Ongoing,0,2014
China XD Plastics Company Limited,NASDAQ,CXDC,Ongoing,0,2014
"Cox Radio, Inc.",New York SE,CXR,Yes,0,2009
"China Expert TECHNOLOGY, Inc.",NASDAQ,CXTI,No,4200000,2007
"Cyberonics, Inc.",NASDAQ,CYBX,Yes,0,2005
"Community Health Systems, Inc.",New York SE,CYH,Ongoing,0,2011
Cytrx Corporation,NASDAQ,CYTR,Ongoing,0,2014
Daktronics Inc.,NASDAQ,DAKT,Yes,0,2008
Deutsche Bank AG : Auction Rate Securities,New York SE,DB,Yes,0,2008
"Georgetown Capital Group, Inc.",Privately Traded,Privatel,Yes,0,2010
Diebold Inc.,New York SE,DBD,Yes,0,2005
Principal Financial Group : Principal Funds,Privately Traded,Privatel,Yes,0,2010
Dana Corporation,New York SE,DCN,Ongoing,0,2005
Dana Corporation,New York SE,DCN,Ongoing,0,2010
"Delcath Systems, Inc.",NASDAQ,DCTH,Ongoing,0,2013
3D Systems Corporation,New York SE,DDD,Ongoing,0,2015
"Digital Domain Media Group, Inc.",NASDAQ,DDMG,Ongoing,0,2012
"Maxam Capital GP, LLC",Privately Traded,Privatel,No,0,2010
"Superior Offshore International, Inc.",NASDAQ,DEEP,No,1900000,2008
"Psychiatric Solutions, Inc.",NASDAQ,PSYS,Yes,0,2010
"Goldman Kurland Mohidin LLP : Deer Consumer Products, Inc.",NASDAQ,DEER,Ongoing,0,2013
"DELL, Inc.",NASDAQ,DELL,No,0,2006
Dell Inc.,NASDAQ,DELL,Ongoing,0,2014
Phoenix Technologies Ltd. : Merger with Marlin Equity Partners,NASDAQ,PTEC,Yes,0,2010
"PrivateBancorp, Inc.",NASDAQ,PVTB,Yes,0,2010
"Digital Generation, Inc.",NASDAQ,DGIT,Ongoing,0,2013
"Rae Systems, Inc.",American SE,RAE,Yes,0,2010
"Morgan Keegan & Company, Inc./Regions Financial Corporation : RMK Advantage INCOME FUND (RMA) : RMK Strategic Income Fund (RSF) : RMK High Income Fund (RMH) : RHY Multi-Sector High Income Fund (RHY)",W.D. Tennessee,RHY,No,62000000,2010
"DHB Industries, Inc.",American SE,DHB,No,35200000,2005
"Dyadic International, Inc.",American SE,DIL,No,4800000,2007
"Diodes, Inc.",NASDAQ,DIOD,Ongoing,0,2013
EchoStar Communications Corporation,NASDAQ,DISH,Yes,0,2005
Ditech Communications Corporation,NASDAQ,DITC,Yes,0,2005
Transocean Ltd.,New York SE,RIG,Yes,0,2010
DFC Global Corp.,NASDAQ,DLLR,Ongoing,0,2013
Transocean Ltd. : Proposed Merger with GlobalSantaFe,New York SE,RIG,Yes,0,2010
The Dolan Company,New York SE,DM,Ongoing,0,2014
The Dolan Company,New York SE,DM,Yes,0,2014
RINO International Corporation,NASDAQ,RINO,No,7000000,2010
"Roche Holding, Ltd. : Genentech stock",NEW YORKSE,DNA,Yes,0,2009
Dendreon Corporation,NASDAQ,DNDN,No,16500000,2007
Rydex Series Funds : Inverse Government Long Bond Strategy Fund,Open-end Fund,RYJAX,No,5500000,2010
Denbury Resources Inc.,New York SE,DNR,Ongoing,0,2010
Delphi Corporation,New York SE,DPH,No,284100100,2005
"SciClone Pharmaceuticals, Inc.",N.D. California,SCLN,Yes,0,2010
Direct General Corporation,NASDAQ,DRCT,No,14940000,2005
Darden Restaurants Inc.,New York SE,DRI,Yes,0,2008
Doral Financial Corporation,New York SE,DRL,No,129000000,2005
Doral Financial Corporation,New York SE,DRL,Ongoing,0,2014
"DRDGOLD Limited (f/k/a Durban Roodepoort Deep, Limited)",NASDAQ,DROOY,Yes,0,2005
Stifel Nicolaus & Company Inc.,New York SE,SF,Yes,0,2010
"Discovery Laboratories, Inc.",NASDAQ,DSCO,Yes,0,2006
iDreamSky Technology Limited : American Depositary Shares (ADSs),NASDAQ,DSKY,Ongoing,0,2015
Downey Financial Corporation,New York SE,DSL,Yes,0,2008
Duke Energy Corporation,New York SE,DUK,Ongoing,0,2012
J.P. Morgan Chase & Co. : iShares Silver Trust and ETF Securities Ltd. Silver Trust,ETF,SLV,Yes,0,2010
Dynavax Technologies Corporation,NASDAQ,DVAX,Ongoing,0,2013
"SMART Technologies, Inc.",NASDAQ,SMT,No,15250000,2010
"DreamWorks Animation SKG, Inc.",New York SE,DWA,Yes,0,2005
"Dreamworks Animation SKG, Inc.",NASDAQ,DWA,Ongoing,0,2014
"Dreamworks Animation SKG, Inc.",NASDAQ,DWA,Ongoing,0,2014
Dawson Geophysical Company,NASDAQ,DWSN,Yes,0,2015
"Smithtown Bancorp, Inc. : Merger with People's United Financial, Inc.",NASDAQ,SMTB,Yes,0,2010
"Strayer Education, Inc.",NASDAQ,STRA,Yes,0,2010
"Electronic Arts, Inc.",NASDAQ,EA,Ongoing,0,2013
European Aeronautic Defence & Space Company (EADS),Other Foreign,EAD,Yes,0,2008
"SolarWinds, Inc.",New York SE,SWI,Yes,0,2010
Centrais Eletricas Brasileiras S.A. - Eletrobras : American Depositary Shares,New York SE,EBR,Ongoing,0,2015
ChannelAdvisor Corporation,New York SE,ECOM,Ongoing,0,2015
"ECOtality, Inc.",NASDAQ,ECTY,Ongoing,0,2013
"Endocyte, Inc.",NASDAQ,ECYT,Ongoing,0,2014
"Endocyte, Inc.",NASDAQ,ECYT,Ongoing,0,2014
EDAP TMS S.A. : American Depositary Receipts,NASDAQ,EDAP,Ongoing,0,2014
EDAP TMS S.A. : American Depositary Receipts,NASDAQ,EDAP,Ongoing,0,2014
"Schweitzer-Mauduit International, Inc.",New York SE,SWM,Yes,0,2010
Education Management Corporation,NASDAQ,EDMC,Ongoing,0,2014
Education Management Corporation,NASDAQ,EDMC,Ongoing,0,2014
"Superior Well Services, Inc.",NASDAQ,SWSI,No,0,2010
Stryker Corporation,New York SE,SYK,Yes,0,2010
"Electronic Game Card, Inc.",OTC-BB,EGMI,Ongoing,0,2010
"eHealth, Inc.",NASDAQ,EHTH,Ongoing,0,2015
"Endurance International Group Holdings, Inc.",NASDAQ,EIGI,Ongoing,0,2015
"Eastern Insurance Holdings, Inc.",NASDAQ,EIHI,Ongoing,0,2013
Edison International,New York SE,EIX,Ongoing,0,2015
Eastman KODAK Company,New York SE,EK,Yes,0,2005
"THOR Industries, Inc.",New York SE,THO,Yes,0,2010
TOYOTA Motor Corporation,New York SE,TM,No,25500000,2010
The Estee Lauder Companies Inc.,New York SE,EL,Yes,0,2006
"Elan Corporation,plc",New York SE,ELN,Yes,0,2005
Elan Corporation PLC,New York SE,ELN,Yes,0,2008
"TeleNav, Inc.",NASDAQ,TNAV,No,3800000,2010
"S.A.C. Capital Advisors, L.P. : American Depositary Receipts of Elan Corporation, plc",New York SE,ELN,Ongoing,0,2012
Emulex Corporation,New York SE,ELX,Ongoing,0,2015
TierOne Corporation,Pink Sheets,TONE,No,3100000,2010
Emcore Corporation,NASDAQ,EMKR,Yes,0,2008
"Trubion Pharmaceuticals, Inc.",NASDAQ,TRBN,Yes,0,2010
Encysive Pharmaceuticals Inc.,NASDAQ,ENCY,Yes,0,2006
"Credit Suisse International : Energy Conversion Devices, Inc. Common Stock",NASDAQ,ENERQ,Ongoing,0,2013
"EnerNOC, Inc.",NASDAQ,ENOC,Yes,0,2008
Linc Housing Corporation,Undetermined,Undeterm,Yes,0,2010
"Envivio, Inc.",NASDAQ,ENVI,Ongoing,0,2012
Enzymotec Ltd.,NASDAQ,ENZY,Ongoing,0,2014
Enzymotec Ltd.,NASDAQ,ENZY,Ongoing,0,2014
Ambassadors Group Inc.,NASDAQ,EPAX,No,7500000,2009
City of Miami : MUNICIPAL BOND,Undetermined,Undeterm,Yes,0,2010
"EPIX Pharmaceuticals,Inc.",NASDAQ,EPIX,Yes,0,2005
"Epocrates, Inc.",NASDAQ,EPOC,Ongoing,0,2013
Royal Bank of Canada : Lehman Brothers Reverse Convertible Securities,Undetermined,Undeterm,Yes,0,2010
Ericsson LM TELEPHONE COMPANY,NASDAQ,ERIC,Yes,0,2007
Erie Family LIFE INSURANCE Company,OTC-BB,ERIF.OB,No,5234277,2006
"Energy Recovery, Inc.",NASDAQ,ERII,Ongoing,0,2015
Electronic Arts Inc.(EA),NASDAQ,ERTS,Yes,0,2005
"EnergySolutions, Inc.",New York SE,ES,No,26000000,2009
"ESB Financial, Inc.",NASDAQ,ESBF,No,0,2014
"Escala Group, Inc.",NASDAQ,ESCL,No,6000000,2006
"Vitacost.com, Inc.",NASDAQ,VITC,Yes,0,2010
"ITT Educational Services, Inc.",New York SE,ESI,Ongoing,0,2013
ITT Educational Services Inc.,New York SE,ESI,Ongoing,0,2014
ITT Educational Services Inc.,New York SE,ESI,Ongoing,0,2014
"Vivus, Inc.",NASDAQ,VVUS,Yes,0,2010
"eSpeed ,Inc.",NASDAQ,ESPD,Yes,0,2005
E*TRADE Financial Corporation,NASDAQ,ETFC,No,79000000,2007
E*TRADE FINANCIAL Corporation : Auction Rate Securities,NASDAQ,ETFC,Yes,0,2008
"Wells Fargo Bank : Wells Fargo MORTGAGE Backed Securities Trust : Mortgage Pass-Through Certificates, Series 2006-AR15",New York SE,WFC,Yes,0,2010
"Etsy, Inc.",NASDAQ,ETSY,Ongoing,0,2015
Evergreen Investment MANAGEMENT COMPANY: Evergreen Ultra Short Opportunities Fund,NASDAQ,EUBAX,No,25000000,2008
EVCI Career Colleges Holding Corporation,NASDAQ,EVCI,No,7725000,2005
"Everyware Global, Inc.",NASDAQ,EVRY,Ongoing,0,2014
Edwards Lifesciences Corp.,New York SE,EW,Ongoing,0,2013
The Washington Post Company,New York SE,WPO,Yes,0,2010
"Expedia, Inc.",NASDAQ,EXPE,Ongoing,0,2013
"Advanced Medical Optics, Inc.",New York SE,EYE,Yes,0,2007
"EZCORP, Inc.",NASDAQ,EZPW,Ongoing,0,2014
"EZCORP, Inc.",NASDAQ,EZPW,Ongoing,0,2014
"EZCORP, Inc.",NASDAQ,EZPW,Ongoing,0,2015
World Wide Child Care Corporation,Pink Sheets,WWCC,Yes,0,2010
First American Corporation,New York SE,FAF,Yes,0,2008
"Wyeth : Pfizer, Inc., as successor-in-interest to Wyeth",New York SE,WYE,Yes,0,2010
"FARO TECHNOLOGIES, Inc.",NASDAQ,FARO,No,6875000,2005
Direxion Shares ETF Trust : Direxion Daily Financial Bear 3X Shares and Direxion Energy Bear 3X Shares Fund,ETF,FAZ,No,8000000,2009
"Facebook, Inc.",NASDAQ,FB,Ongoing,0,2012
Nasdaq OMX Group Inc. : Facebook Inc.,NASDAQ,FB,Ongoing,0,2012
"Flagstar Bancorp, Inc.",New York SE,FBC,Ongoing,0,2014
"Flagstar Bancorp, Inc.",New York SE,FBC,Ongoing,0,2014
"Furniture Brands International, Inc.",New York SE,FBN,Ongoing,0,2013
First BanCorp,New York SE,FBP,No,74250000,2005
"Friedman, Billings, Ramsey Group, Inc.",New York SE,FBR,Yes,0,2005
Franklin Bank Corporation,NASDAQ,FBTX,Yes,0,2008
Fiat Chrysler Automobiles N.V.,New York SE,FCAU,Ongoing,0,2015
ExpressJet Holdings Inc.,New York SE,XJT,Yes,0,2010
"FCStone Group, Inc.",NASDAQ,FCSX,NO,4250000,2008
"Family Dollar Stores, Inc.",New York SE,FDO,Ongoing,0,2013
"AgFeed Industries, Inc.",NASDAQ,FEED,Ongoing,0,2011
"FireEye, Inc.",NASDAQ,FEYE,Ongoing,0,2014
"SAC Capital Management, LLC : Fairfax Financial Holdings Limited",New York SE,FFH,Yes,0,2007
"XenoPort, Inc.",NASDAQ,XNPT,Yes,0,2010
"Fuwei Films (Holdings) Company, Ltd.",NASDAQ,FFHL,No,0,2007
"ZiLOG, Inc.",NASDAQ,ZILG,Yes,0,2010
"First Trust Portfolios, L.P. : First Trust Strategic High INCOME FUND",ETF,FHI,No,5000000,2008
"Fimalac, S.A.",Other Foreign,FIM,Yes,0,2008
"Fusion-io, Inc.",New York SE,FIO,Ongoing,0,2013
"Sourcefire, Inc.",NASDAQ,FIRE,No,3200000,2007
"Fifth Third Bancorp : Common Stock, Preferred B Shares and Preferred C Shares",NASDAQ,FITB,No,16000000,2008
Fifth Third Bancorp: First Charter Acquisition,NASDAQ,FITB,Yes,0,2008
"Five Below, Inc.",NASDAQ,FIVE,Yes,0,2015
"Fleetwood Enterprises, Inc.",NEW YORKSE,FLE,Yes,0,2009
Flamel TECHNOLOGIES SA,NASDAQ,FLML,Yes,0,2007
"Focus Media Holding, Ltd.",NASDAQ,FMCN,No,2000000,2007
"Airtran Holdings, Inc.",New York SE,AAI,Yes,0,2011
The First Marblehead Corporation,New York SE,FMD,Yes,0,2008
The First Marblehead Corp.,New York SE,FMD,Ongoing,0,2013
First M&F Corporation,NASDAQ,FMFC,Ongoing,0,2013
Fremont General Corporation,New York SE,FMT,Yes,0,2007
FEDERAL NATIONAL MORTGAGE ASSOCIATION (Fannie Mae),New York SE,FNM,Ongoing,0,2008
ForceField Energy Inc.,NASDAQ,FNRG,Ongoing,0,2015
"Advanced Battery Technologies, Inc.",NASDAQ,ABAT,No,275000,2011
"Forward Industries, Inc.",NASDAQ,FORD,Yes,0,2006
"FormFactor, Inc.",NASDAQ,FORM,Yes,0,2007
Fortis,OTC-BB,FORSY,Yes,0,2008
"Fox Entertainment Group,Inc.:News Corporation",New York SE,FOX,No,0,2005
"FoxHollow TECHNOLOGIES, Inc.",NASDAQ,FOXH,Yes,0,2006
Francesca's Holdings Corporation,NASDAQ,FRAN,Ongoing,0,2013
Federal HOME LOAN MORTGAGE Corporation (Freddie Mac),New York SE,FRE,Ongoing,0,2007
Federal Home LOAN MORTGAGE Corporation (Freddie Mac),New York SE,FRE,Yes,0,2008
"Federal Home LOAN MORTGAGE Corporation (Freddie Mac) :Underwriters Of 8.375% Non-Cumulative Perpetual Preferred Stock, Series Z",New York SE,FRE-Z,Yes,0,2008
Acxiom Corporation,NASDAQ,ACXM,Yes,0,2011
"Force Protection, Inc.",NASDAQ,FRPT,No,24000000,2008
"Forest Laboratories ,Inc.",New York SE,FRX,No,65000000,2005
"Reddy Ice Holdings, Inc.",New York SE,FRZ,Ongoing,0,2008
Adolor Corporation,NASDAQ,ADLR,Yes,0,2011
"First Solar, Inc.",NASDAQ,FSLR,Ongoing,0,2012
Forest Oil Corporation,New York SE,FST,Yes,0,2014
Agnico-Eagle Mines Ltd.,New York SE,AEM,Yes,0,2011
"Flotek Industries, Inc.",New York SE,FTK,Yes,0,2009
FAB Universal Corporation,New York SE,FU,Ongoing,0,2013
Rocket Fuel Inc.,NASDAQ,FUEL,Ongoing,0,2014
Rocket Fuel Inc.,NASDAQ,FUEL,Ongoing,0,2014
"Artificial Life, Inc.",OTC-BB,ALIFE,Yes,0,2011
"Fuqi International, Inc.",NASDAQ,FUQI,Ongoing,0,2010
Fidelity Management & Research Company (FMR) : Fidelity Ultra-Short Bond Fund,NASDAQ,FUSFX,No,23600000,2008
"FindWhat.com (n/k/a MIVA, Inc.)",NASDAQ,FWHT,Yes,0,2005
Fairway Group Holdings Corp.,NASDAQ,FWM,Ongoing,0,2014
"Allos Therapeutics, Inc.",NASDAQ,ALTH,Yes,0,2011
"FXCM, Inc.",New York SE,FXCM,Ongoing,0,2015
"FX Energy, Inc.",NASDAQ,FXEN,Yes,0,2007
"Giant Interactive Group, Inc.",New York SE,GA,No,13000000,2007
Giant Interactive Group Inc.,New York SE,GA,Yes,0,2014
"Galena Biopharma, Inc.",NASDAQ,GALE,Ongoing,0,2014
"Galectin Therapeutics, Inc.",NASDAQ,GALT,Ongoing,0,2014
"Galectin Therapeutics, Inc.",NASDAQ,GALT,Ongoing,0,2014
American Superconductor Corporation,NASDAQ,AMSC,No,10000000,2011
"AGL Resources, Inc.",New York SE,GAS,Ongoing,0,2015
"Global Cash Access Holdings, Inc.",New York SE,GCA,No,5850000,2008
"Genesco, Inc.",New York SE,GCO,Yes,0,2007
GMH Communities Trust,New York SE,GCT,No,8750000,2006
Sanofi : Contingent Value Rights (CVRs),NASDAQ,GCVRZ,Ongoing,0,2013
"Anadys Pharmaceuticals, Inc.",NASDAQ,ANDS,Yes,0,2011
Guidant Corporation,New York SE,GDT,Yes,0,2005
Guidant Corporation,New York SE,GDT,Yes,0,2005
General Electric Company,New York SE,GE,Yes,0,2008
General Electric Company,New York SE,GE,Yes,0,2008
General Electric Company,New York SE,GE,No,40000000,2009
Gentium S.p.A. : American Depositary Shares,NASDAQ,GENT,Ongoing,0,2014
Genzyme Corporation,NASDAQ,GENZ,Yes,0,2009
Aegean Marine Petroleum Network Inc.,New York SE,ANW,Yes,0,2011
"A-Power Energy Generation Systems, Ltd.",NASDAQ,APWR,No,3675000,2011
"Aeropostale, Inc",New York SE,ARO,No,15000000,2011
Geron Corporation,NASDAQ,GERN,Ongoing,0,2014
"Atheros Communications, Inc.",NASDAQ,ATHR,Yes,0,2011
"GFI Group, Inc.",New York SE,GFIG,Ongoing,0,2014
Bank of America Corporation,New York SE,BAC2,Yes,0,2011
"General Growth Properties, Inc.",New York SE,GGP,No,15500000,2008
"Global Geophysical Services, Inc.",New York SE,GGS,Ongoing,0,2014
"Gildan Activewear, Inc.",New York SE,GIL,Yes,0,2008
"Blue Coat Systems, Inc.",NASDAQ,BCSI,Yes,0,2011
Great Lakes Dredge & Dock Corporation,NASDAQ,GLDD,Ongoing,0,2013
"Beckman Coulter, Inc.",New York SE,BEC,Yes,0,2011
Global Power Equipment Group Inc.,New York SE,GLPW,Ongoing,0,2015
General Motors Corporation,New York SE,GM,No,303000000,2005
Brigham Exploration Company,W.D. Texas,BEXP,Yes,0,2011
General Motors Company,New York SE,GM,Ongoing,0,2014
"BJ's Wholesale Club, Inc.",New York SE,BJ,Yes,0,2011
"Green Mountain Coffee Roasters, Inc.",NASDAQ,GMCR,Ongoing,0,2012
"Keurig Green Mountain, Inc.",NASDAQ,GMCR,Ongoing,0,2015
"BioMimetic THERAPEUTICS, INC.",NASDAQ,BMTI,Yes,0,2011
Gander Mountain Company,NASDAQ,GMTN,Yes,0,2005
Oilsands Quest Inc.,American SE,BQI,No,10235000,2011
"Broadwind Energy, Inc.",NASDAQ,BWEN,No,3915000,2011
"Genworth Financial, Inc.",New York SE,GNW,Ongoing,0,2014
"Genworth Financial, Inc.",New York SE,GNW,Ongoing,0,2014
"Genworth Financial, Inc.",New York SE,GNW,Ongoing,0,2014
"China Agritech, Inc.",NASDAQ,CAGC,Yes,0,2011
GPC Biotech AG,NASDAQ,GPCB,Yes,0,2007
Gaming Partners International Corporation,NASDAQ,GPIC,Yes,0,2007
Carlyle Capital Corp.,Euronext,CARYF,Yes,0,2011
"Ciber, Inc.",New York SE,CBR,No,3000000,2011
Agria Corporation,New York SE,GRO,No,3750000,2008
"Groupon, Inc.",NASDAQ,GRPN,Ongoing,0,2012
"Groupon, Inc.",NASDAQ,GRPN,Ongoing,0,2012
Groupon Inc.,NASDAQ,GRPN,Ongoing,0,2013
"Gravity Co., Ltd.",NASDAQ,GRVY,No,5000000,2005
"The Goldman Sachs Group, Inc. : Auction Rate Securities",New York SE,GS,Yes,0,2008
"Goldman Sachs Group, Inc.",New York SE,GS,Ongoing,0,2010
"Globalstar, Inc.",NASDAQ,GSAT,No,15000000,2007
"GSI Group, Inc.",NASDAQ,GSIG,No,3250000,2008
GlaxoSmithKline plc,New York SE,GSK,Yes,0,2005
GlaxoSmithKline PLC,New York SE,GSK,Yes,0,2007
GT Advanced Technologies Inc.,NASDAQ,GTAT,Ongoing,0,2014
GT Advanced Technologies Inc.,NASDAQ,GTAT,Ongoing,0,2014
GlobeTel Communications Corporation,American SE,GTE,No,2300000,2006
GrafTech International Limited,New York SE,GTI,Yes,0,2006
"Gentiva Health Services, Inc.",NASDAQ,GTIV,Ongoing,0,2010
"China Century Dragon Media., Inc.",New York SE,CDM,No,260000,2011
Hansen Natural Corporation,NASDAQ,HANS,Yes,0,2006
Hansen Natural Corporation,NASDAQ,HANS,No,16250000,2008
"Harman International Industries, Inc.",New York SE,HAR,Ongoing,0,2007
"Hastings Entertainment, Inc.",NASDAQ,HAST,Yes,0,2014
Huntington Bancshares Incorporated,NASDAQ,HBAN,Yes,0,2007
"Huntington Bancshares, Inc.",NASDAQ,HBAN,Yes,0,2008
"HCA, Inc.",New York SE,HCA,Yes,0,2005
"HCA Holdings, Inc.",New York SE,HCA,Ongoing,0,2011
"HCC Insurance Holdings, Inc.",New York SE,HCC,No,10000000,2007
Central European Distribution Corporation,NASDAQ,CEDC,No,1150000,2011
"Home Depot, Inc.",New York SE,HD,Yes,0,2006
"Harley-Davidson, Inc.",New York SE,HDI,Yes,0,2005
Hardinge Inc.,NASDAQ,HDNG,Yes,0,2008
Hyperdynamics Corporation,New York SE,HDY,Ongoing,0,2012
Hyperdynamics Corporation,New York SE,HDY,Ongoing,0,2014
"Constellation Energy Group, Incorporated",NASDAQ,CEG,Yes,0,2011
"SmartHeat, Inc.",NASDAQ,HEAT,Ongoing,0,2012
"Hemispherx Biopharma, Inc.",American SE,HEB,No,3600000,2009
"Hemispherx Biopharma, Inc.",New York SE,HEB,Ongoing,0,2012
"China Electric Motor, Inc.",NASDAQ,CELM,No,2750000,2011
"Helen of Troy, Ltd.",NASDAQ,HELE,No,4500000,2005
CHC Group Ltd.,New York SE,HELI,Ongoing,0,2015
China Fire & Security Group,NASDAQ,CFSG,Yes,0,2011
"Hanger, Inc.",New York SE,HGR,Ongoing,0,2014
China Medicine Corporation,Pink Sheets,CHME,No,700000,2011
"China Intelligent Lighting and Electronics, Inc.",Amex Emerging Co.,CIL,Yes,0,2011
CNinsure Inc.,NASDAQ,CISG,No,6625000,2011
Dot Hill Systems Corporation,NASDAQ,HILL,Yes,0,2006
"Himax TECHNOLOGIES, Inc. : American Depository Shares",NASDAQ,HIMX,No,1200000,2007
"China Medical Technologies, Inc.",NASDAQ,CMED,Yes,0,2011
"China Organic Agriculture, Inc.",OTC-BB,CNOA,Yes,0,2011
Herbalife Ltd.,New York SE,HLF,Ongoing,0,2014
"Home Loan Servicing Solutions, Ltd.",NASDAQ,HLSS,Ongoing,0,2015
"Helix Energy Solutions Group, Inc.",New York SE,HLX,Ongoing,0,2015
"Heelys, Inc.",NASDAQ,HLYS,No,7500000,2007
"HEALTH MANAGEMENT Associates, Inc.",New York SE,HMA,Yes,0,2007
"Health Management Associates, Inc.",New York SE,HMA,Ongoing,0,2012
HomeBanc Corporation,Pink Sheets,HMB,Yes,0,2007
Harmony Gold Mining Company Limited,New York SE,HMY,No,9000000,2008
"All American Group, Inc.",Pink Sheets,COHM.PK,Yes,0,2011
Harvest Natural Resource,New York SE,HNR,Ongoing,0,2013
"Hansen Medical, Inc.",NASDAQ,HNSN,No,8500000,2009
"Home Solutions of America, Inc.",American SE,HOM,No,3500000,2006
"Cooper Companies, Inc.",New York SE,COO,Yes,0,2011
"Hornbeck Offshore Services, Inc.",New York SE,HOS,Yes,0,2007
"Chanticleer Holdings, Inc.",NASDAQ,HOTR,Ongoing,0,2012
Hot Topic Inc,NASDAQ,HOTT,Ongoing,0,2013
"Hovnanian Enterprises, Inc.",New York SE,HOV,No,4000000,2007
"California Pizza Kitchen, Inc.",NASDAQ,CPKI,Yes,0,2011
Celera Corporation : Tender Offer by Quest Diagnostics Inc.,NASDAQ,CRA,Yes,0,2011
Computer Sciences Corporation,New York SE,CSC,No,97500000,2011
Hewlett-Packard Company,New York SE,HPQ2,Ongoing,0,2012
