"","acc.loss","price.trend","company.rating","eps","log.shares","cap.reserve","cash","log.common.stocks","other.finance","finance.cash.flow","other.funds","inventory.diff","investing.other","options.granted","risk.free.rate","assumed.volatility","sale.investments","log.long.tax","net.tax.liability","settlement.pct","market.valuation","was.litigated"
"127",-0.14,1.4,3,0.08956,16.9911269200987,3.7002643989805,1.026,-6.21460809842219,0,-2.766,-0.202,0.204,0,0.548,0.97,116,0,-2.30258509299405,0,0,23060123.1242,FALSE
"128",0.004,-0.08,3,-0.00812,18.436999741824,1.1718627504077,-0.001,-2.14558134418438,0.208,0.853,0.397,0,-0.002,0,0,0,0,-2.30258509299405,0,0,13156288.4434667,FALSE
"129",0.029,0.1898,3,-0.02,18.644296437758,2.04394388932668,0.402,-1.80788885115794,0.091,2.67,-0.191,-0.162,0,4,0,0,0,-2.30258509299405,0,0,17624986.2074074,FALSE
"130",0.253,-0.34,3,-0.245079365079365,18.0339219574682,5.70045360678517,-3.357,-2.65926003693278,0,2.267,14.547,-6.184,0.129,2.829,2.32,70,0.47,-0.462035459596559,0.242,0,204413277.678571,FALSE
"131",19.523,10.8,3,2.16123015873016,16.6825920264335,6.15351324106235,10.327,-3.64965874096066,-0.7,-26.462,8.222,-17.078,0,0.234,2.3,41.4,-0.071,-2.30258509299405,10.44,0,547748069.285714,FALSE
"132",7.262,-7.15,3,2.80865079365079,16.6975087307082,6.17112840868997,-8.768,-3.64965874096066,-1.743,-23.744,326.563,15.593,0,0.18,1.7,45.3,-0.253,-2.30258509299405,32.505,0,545641838.730159,FALSE
"133",1.457,-6.57,3,-12.7496,16.6593847549999,6.18636293298189,8.276,-3.64965874096066,-0.02,-29.463,10.988,-12.697,0,0.184,0.8,44.6,-0.105,-2.30258509299405,29.688,0,438273350.3096,FALSE
"134",7.327,6.37,3,0.558174603174603,16.5980365962782,6.19934622627572,0.09,-3.64965874096066,0,-52.021,161.008,15.066,0,0.158,1.3,42.3,0.092,-2.30258509299405,35.877,0,418228823.475529,FALSE
"135",-10,-4.7801,3,4.60813492063492,20.1144191075052,0,240,7.76599307940768,0,-2087,75,42,-557,0,0,0,0,-2.30258509299405,-47,0,32404765719.5377,FALSE
"136",40,-44.61,3,5.91694444444444,20.0767160932667,0,-264,7.80220931624712,0,-149,440,-409,-2217,0,0,0,0,-2.30258509299405,-35,0,18882612652.4471,FALSE
"137",-4,-4.76,3,1.26316,20.0773075391889,0,22,7.79605797431612,0,-36,457,426,-1005,5.288,0.5,69.5,0,-2.30258509299405,-106,0,5689320000,FALSE
"138",-8,-5.54,3,-1.45059523809524,20.0778778508917,0,30,7.79069603117474,0,1224,3334,359,-1080,0,0,0,0,-2.30258509299405,41,0,5685572824.26257,TRUE
